state,n_years_total,waste_metric,environmental_metric,n_years_used,pearson_corr,abs_pearson_corr
NT,15,ewaste_proxy_tonnes,chromium_water_kg,15,-0.0047134872799464425,0.0047134872799464425
NT,15,ewaste_proxy_tonnes,chromium_land_kg,15,-0.10000341980907963,0.10000341980907963
NT,15,ewaste_proxy_tonnes,copper_air_kg,15,-0.3684164746103499,0.3684164746103499
NT,15,ewaste_proxy_tonnes,copper_water_kg,15,-0.24073084130897715,0.24073084130897715
NT,15,ewaste_proxy_tonnes,copper_land_kg,15,-0.098556497281584,0.098556497281584
NT,15,ewaste_proxy_tonnes,zinc_air_kg,15,-0.41866132524571587,0.41866132524571587
NT,15,ewaste_proxy_tonnes,zinc_water_kg,15,-0.03796265235917372,0.03796265235917372
NT,15,ewaste_proxy_tonnes,zinc_land_kg,15,0.13523575406345104,0.13523575406345104
NT,15,ewaste_proxy_tonnes,tvoc_air_kg,15,0.8473116855116638,0.8473116855116638
NT,15,ewaste_proxy_tonnes,tvoc_water_kg,15,-0.1370990669735651,0.1370990669735651
NT,15,ewaste_proxy_tonnes,tvoc_land_kg,15,-0.13709906697356505,0.13709906697356505
NT,15,ewaste_proxy_tonnes,pm10_air_kg,15,0.7565220005972481,0.7565220005972481
NT,15,ewaste_proxy_tonnes,pm10_water_kg,15,,
NT,15,ewaste_proxy_tonnes,pm10_land_kg,15,,
NT,15,ewaste_proxy_tonnes,pm25_air_kg,15,-0.13905735194258276,0.13905735194258276
NT,15,ewaste_proxy_tonnes,pm25_water_kg,15,,
NT,15,ewaste_proxy_tonnes,pm25_land_kg,15,,
NT,15,hazardous_recycling_tonnes,total_air_emission_kg,15,0.28502362374552404,0.28502362374552404
NT,15,hazardous_recycling_tonnes,total_water_emission_kg,15,-0.149814717460937,0.149814717460937
NT,15,hazardous_recycling_tonnes,total_land_emission_kg,15,0.2856537271471164,0.2856537271471164
NT,15,hazardous_recycling_tonnes,lead_air_kg,15,-0.14045240750956464,0.14045240750956464
NT,15,hazardous_recycling_tonnes,lead_water_kg,15,-0.1762426056006937,0.1762426056006937
NT,15,hazardous_recycling_tonnes,lead_land_kg,15,0.05556318918562262,0.05556318918562262
NT,15,hazardous_recycling_tonnes,mercury_air_kg,15,-0.21519039655284466,0.21519039655284466
NT,15,hazardous_recycling_tonnes,mercury_water_kg,15,0.02939088917275424,0.02939088917275424
NT,15,hazardous_recycling_tonnes,mercury_land_kg,15,0.4202524040084198,0.4202524040084198
NT,15,hazardous_recycling_tonnes,cadmium_air_kg,15,-0.27081151918610596,0.27081151918610596
