state,year_label,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,lead_air_kg,lead_water_kg,lead_land_kg,mercury_air_kg,mercury_water_kg,mercury_land_kg,cadmium_air_kg,cadmium_water_kg,cadmium_land_kg,nickel_air_kg,nickel_water_kg,nickel_land_kg,chromium_air_kg,chromium_water_kg,chromium_land_kg,copper_air_kg,copper_water_kg,copper_land_kg,zinc_air_kg,zinc_water_kg,zinc_land_kg,tvoc_air_kg,tvoc_water_kg,tvoc_land_kg,pm10_air_kg,pm10_water_kg,pm10_land_kg,pm25_air_kg,pm25_water_kg,pm25_land_kg
NSW,2013-2014,800920507.3903183,37941893.05715433,964598.2620622464,43101.52732734405,111.787333992,130.6653699909906,660.2313194679306,40.930831787289996,1.1173765900951484,975.3544634407152,4.0289205984,6.705600108886797,10237.691434906834,587.160401867,100.50189387862537,15724.661674515568,328.99525633200005,15359.757755038516,49733.51823348271,28803.624775358,3572.0094194425633,148132.6957662625,35450.268752022,109.2318166695015,11345829.860411854,0.0,0.0,140371354.40773943,0.0,0.0,5089384.938706516,0.0,0.0
NSW,2014-2015,769659511.331145,40446650.66305097,1119704.1381829013,39390.34044714076,193.392529007,73139.66812549609,674.6415846424748,28.7983573418,25.501361223257952,735.1309316440575,5.1285328970999995,4.191281338018868,8350.025904809694,1282.4358103490001,139.47667588608624,14302.194524895207,132.37972484300002,30834.983250006797,52418.919015787724,37565.630974363,17425.659610168215,131255.50554516626,41061.846391398,144266.67874844235,9709075.443428399,0.0,0.0,135062943.76914257,0.0,0.0,4805941.4322997,0.0,0.0
NSW,2015-2016,713808380.3948607,38430286.64793516,1254308.2330576337,38690.224434103795,105.135487754,57591.1391611779,651.2288276764327,32.440493302296,8.650065153589578,612.3223989102976,3.2297079099,3.334528711756813,8061.387358682027,953.684237179,143.41871062304702,11525.130768748719,163.502812847,31098.12167890696,49968.00488632392,30872.974048886997,17889.874403604063,115403.97720144226,36469.799426775,94277.25771408918,8424985.08651714,0.0,0.0,116728784.2394104,0.0,0.0,3548184.475661011,0.0,0.0
NSW,2016-2017,712820445.9796525,40917570.18994865,1699614.455220142,37376.29514186095,59.269607015,67965.01584861055,485.53601706974035,18.50871773084,6.684618136767115,640.0150164946358,2.57633059,3.184010744166038,7160.164507864921,1031.864082216,196.64607194801619,10846.257382586678,109.375911759,19931.66806550071,48098.38805474827,35603.807453044,14478.36219380104,102618.147961779,41341.454507098,116179.03821969107,8358851.691064303,0.0,0.0,115264822.19979154,0.0,0.0,3820513.122693499,0.0,0.0
NSW,2017-2018,701849047.325628,39458412.94638535,1371147.116121429,43106.395857851654,19.750990083,74882.78707377306,415.61820663348715,17.154859015524,6.2219078968862265,942.911963716343,3.344486292,3.8655641433452828,7608.507967999132,683.86888014,116.73019961776414,11834.379701158125,93.05785377100001,19426.934394488624,70833.96037018254,32616.0513177288,3859.7446965197605,140962.31050312388,37606.3119724894,129518.80207747105,8077660.859382422,0.0,0.0,119361600.43444651,0.0,0.0,3847551.6039136043,0.0,0.0
NSW,2018-2019,744874047.5760859,42301792.93445573,851821.7648940177,48279.96882088053,33.615172781,68559.4998758,613.5949948881776,37.583400632840004,6.16565851,773.0604984699468,1.081650887,4.15902351,8754.54771857807,744.037888454,116.0628079,13081.58627677122,83.15786540500001,38710.8586301,81538.6193327939,36626.848949592,3815.259825,137695.61719586005,35425.554806355,121766.74294235848,7940807.954964478,0.0,0.0,126870271.13843715,0.0,0.0,4042120.6027490813,0.0,0.0
NSW,2019-2020,698867532.5645477,42831629.920943715,722809.9233281645,40459.85067563155,123.918318728,82094.18854260436,475.79117844256996,9.494758416637499,25.419265428244074,890.290147033434,5.9671847806,80.65225618119136,7839.49321671501,1201.750500134,1808.6937454642048,14440.559048165107,127.254192219,20404.804443739136,89699.64991702796,35625.346286954,2711.3053406915515,129655.81524771062,47820.28249303,139107.7882822091,8704402.877262766,0.0,0.0,129218831.93267053,0.0,0.0,4003611.8351432746,0.0,0.0
NSW,2020-2021,681711550.1885842,45683686.671493135,702567.2019531796,39897.78027214701,1031.17841459,74989.25988111453,494.66593602753596,22.749188399999998,13.112764468185983,738.7889064823628,7.0525414589999995,0.5072504253396226,8821.157311695993,1259.74702159,128.51422944269544,17678.846940986547,149.95327458999998,48870.825930228595,97627.19590439845,34903.03633884,20750.91882114674,118905.98997734215,38625.126351,153594.16610816077,7470295.168174881,0.0,0.0,123795260.5176417,0.0,0.0,3955589.1595984385,0.0,0.0
NSW,2021-2022,672393269.2287047,46160781.55015526,514405.7037370002,32288.53139014289,206.979484741,80452.529065354,536.0904485403,10.63827652,12.5119363236,717.763385691,29.234923302,2.4927233148,9352.320700029999,1275.723893513,20.084957858,15350.6888461574,473.431166798,28025.489419593,93729.905051078,33751.050439097,57.38373643,105697.51114766,46953.771311037,150856.468672058,6811026.2443691995,0.0,0.0,119888265.56930903,0.0,0.0,3815998.83719589,0.0,0.0
NSW,2022-2023,664075571.2189045,40611696.37193801,370922.7711582825,25173.045134945172,227.504976,38316.773969426,574.03328953921,16.838771285,0.737538849,575.89748190784,20.04393635,4.9407803230419995,9140.5997195588,1761.15446,15.478858130419999,13660.714811702579,1197.8039979999999,16601.091993514998,87971.56445115367,29855.453318379998,198.30816516999997,96398.62599425,43311.500662,90106.8632268642,6539330.7699526595,0.0,0.0,120484229.75900209,0.0,0.0,3652231.295963485,0.0,0.0
NSW,2023-2024,652108466.4465578,42939057.22828706,434813.0591290326,30164.428528167857,415.59655124,35039.1913350365,532.078928062388,17.729807895,0.305678676775,697.7648788507186,2.69807725,1.89718200955,9749.155238457286,1222.574811,18.22752879775,14037.495171688068,366.445859,14424.840852981499,96826.85619922036,34513.7527532,190.69765105475,107106.32403087048,44309.173596,81161.745338387,6816759.178726967,0.0,0.0,123763287.53733507,0.0,0.0,3672392.6907220767,0.0,0.0
NSW,2024-2025,658964498.392253,45213157.22110055,589517.635112301,24233.81429941335,159.363416,168931.436205555,510.93114004212117,19.70818315,0.401011517,547.0508296230842,135.9845273,6.988642986,11482.30378103168,1310.298602,15.162017176,13399.521273259816,705.038156,12461.14611675,78448.4724112177,27162.927491,11339.1522452,93781.851731664,34265.940282999996,217762.7255326,6573491.32970417,0.0,0.0,127407636.59738061,0.0,0.0,3781353.594373958,0.0,0.0
NT,1998-1999,51505215.64049454,565002.7815,1230.06,4098.979129456395,1.61,0.0,25.4236877368898,0.0005,0.0,48.745258557084,0.001,0.0,6737.400358774819,1.55,0.0,2677.325679928556,0.62,1.0,955.1672968224899,11.17,0.0,3246.88967599426,9.0,0.0,526618.039476575,0.0,0.0,9487748.03047431,0.0,0.0,0.0,0.0,0.0
