state,n_years_total,waste_metric,environmental_metric,n_years_used,pearson_corr,spearman_corr,abs_pearson_corr,abs_spearman_corr
NSW,15,hazardous_disposal_tonnes,chromium_land_kg,15,0.21144377656188204,0.1928571428571428,0.21144377656188204,0.1928571428571428
NSW,15,hazardous_disposal_tonnes,pm25_air_kg,15,-0.2059547933545025,-0.4535714285714285,0.2059547933545025,0.4535714285714285
NSW,15,hazardous_disposal_tonnes,nickel_air_kg,15,0.1128359080260293,0.18928571428571428,0.1128359080260293,0.18928571428571428
NSW,15,hazardous_disposal_tonnes,copper_land_kg,15,-0.052251905728986574,-0.04285714285714285,0.052251905728986574,0.04285714285714285
NSW,15,hazardous_disposal_tonnes,pm10_land_kg,15,,,,
NSW,15,hazardous_disposal_tonnes,pm10_water_kg,15,,,,
NSW,15,hazardous_disposal_tonnes,pm25_land_kg,15,,,,
NSW,15,hazardous_disposal_tonnes,pm25_water_kg,15,,,,
NSW,15,hazardous_recycling_tonnes,copper_land_kg,15,-0.44985954697187275,-0.3071428571428571,0.44985954697187275,0.3071428571428571
NSW,15,hazardous_recycling_tonnes,mercury_land_kg,15,-0.42811808925574935,-0.3714285714285714,0.42811808925574935,0.3714285714285714
NSW,15,hazardous_recycling_tonnes,mercury_air_kg,15,-0.3776553289797766,-0.6035714285714285,0.3776553289797766,0.6035714285714285
NSW,15,hazardous_recycling_tonnes,copper_air_kg,15,0.3627768653852649,0.28571428571428564,0.3627768653852649,0.28571428571428564
NSW,15,hazardous_recycling_tonnes,cadmium_air_kg,15,0.35104419122360636,0.46071428571428563,0.35104419122360636,0.46071428571428563
NSW,15,hazardous_recycling_tonnes,copper_water_kg,15,-0.32218927297509675,-0.2928571428571428,0.32218927297509675,0.2928571428571428
NSW,15,hazardous_recycling_tonnes,nickel_water_kg,15,0.2800134029206726,0.3607142857142856,0.2800134029206726,0.3607142857142856
NSW,15,hazardous_recycling_tonnes,mercury_water_kg,15,-0.26613311430633185,-0.44999999999999996,0.26613311430633185,0.44999999999999996
NSW,15,hazardous_recycling_tonnes,pm25_air_kg,15,0.2284139581309249,0.42499999999999993,0.2284139581309249,0.42499999999999993
NSW,15,hazardous_recycling_tonnes,zinc_land_kg,15,-0.20931385652855025,-0.05357142857142857,0.20931385652855025,0.05357142857142857
