report_year,state,metal,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,facility_count
2012/2013,NSW,Mercury,493.2825608110047,23.55579715516,3.3068396103573927,242
2012/2013,NT,Cadmium,471.525365616,4.9856537,1.7190454985511725,33
2012/2013,NT,Lead,11394.767996019726,141.7999222,15.187626229480276,38
2012/2013,NT,Mercury,349.0434304997927,1.32489935,0.8505226274807645,36
2012/2013,QLD,Cadmium,13275.93798462248,126.58444055416666,7.306335536600337,255
2012/2013,QLD,Lead,155664.65791203082,153.17983171583333,112.33947246140151,287
2012/2013,QLD,Mercury,729.9001532814833,10.329059129,0.574397526608585,315
2012/2013,SA,Cadmium,5384.503264512381,991.9913,22.274791503132075,85
2012/2013,SA,Lead,65834.90144654673,5134.5127,80.41147427209434,96
2012/2013,SA,Mercury,240.67596910179583,9.6045,3.541921722619946,104
2012/2013,TAS,Cadmium,149.39999068950002,444.492221,0.7975796054056601,42
2012/2013,TAS,Lead,6496.870931577099,2946.67677,2.9666754248254716,50
2012/2013,TAS,Mercury,28.09999024016898,41.65813,0.0113965108173853,54
2012/2013,VIC,Cadmium,2025.22080207726,181.408,2.4097704646159968,191
2012/2013,VIC,Lead,7217.982046153134,766.359,11.183743591270094,219
2012/2013,VIC,Mercury,1523.2222284849422,24.919,0.5504444623263812,227
2012/2013,WA,Cadmium,1833.76298979037,841.166039802,127.62513314144628,275
2012/2013,WA,Lead,27433.080063459936,4487.992580367,5508.130933422607,309
2012/2013,WA,Mercury,6401.124280937571,19.84305726,81.66745427163342,303
2013/2014,ACT,Cadmium,4.560511261595,0.3,0.003467749,10
2013/2014,ACT,Lead,45.224480630545,3.8,0.01560487,11
2013/2014,ACT,Mercury,5.2267382086405005,0.2,0.000148618,13
2013/2014,NSW,Cadmium,975.3544634407152,4.0289205984,6.705600108886797,201
2013/2014,NSW,Lead,43101.52732734405,111.787333992,130.6653699909906,241
2013/2014,NSW,Mercury,660.2313194679306,40.93083178729,1.1173765900951482,253
2013/2014,NT,Cadmium,520.06857545,8.09268732,1.2724521955904762,31
