health_metric,emissions_metric,n_state_year_pairs,n_predictors,raw_beta,standardized_beta,abs_standardized_beta,intercept,r_squared,adjusted_r_squared,condition_number
pad_percent,copper_land_kg,40,27,-0.00022975418047397768,-0.2899550418495009,0.2899550418495009,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,lead_air_kg,40,27,2.2098590960810558e-05,0.2707988260177998,0.2707988260177998,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,lead_water_kg,40,27,-0.0001056603208452264,-0.24634440864643398,0.24634440864643398,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,copper_water_kg,40,27,5.3428595548433984e-05,0.20171205538624304,0.20171205538624304,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,nickel_land_kg,40,27,1.0576071667458214e-05,0.13117634093770675,0.13117634093770675,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
pad_percent,cadmium_land_kg,40,27,-0.0060931216629653085,-0.1179383760977748,0.1179383760977748,49.5510300031559,0.8771071519493557,0.600598243835406,877691315.9059019
potential_years_of_life_lost,zinc_air_kg,40,27,-2.3365683239543347,-2.429190476243222,2.429190476243222,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,nickel_air_kg,40,27,-1.2739146975614872,-1.6887021779127194,1.6887021779127194,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,pm10_air_kg,40,27,0.0007230909472703636,1.4791074667004231,1.4791074667004231,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,total_air_emission_kg,40,27,0.0002991600245738052,1.4781779178781143,1.4781779178781143,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,pm25_air_kg,40,27,0.023036096723622855,0.9358019216321533,0.9358019216321533,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,total_water_emission_kg,40,27,0.0055902017658933925,0.7821514939673894,0.7821514939673894,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,chromium_air_kg,40,27,-0.6152636014261589,-0.6671010101545554,0.6671010101545554,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,cadmium_land_kg,40,27,573.1094959181409,0.431126163334783,0.431126163334783,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,tvoc_air_kg,40,27,0.0021161381822243567,0.32685691467713684,0.32685691467713684,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,total_land_emission_kg,40,27,-0.03084705089841674,-0.2608429750435653,0.2608429750435653,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,copper_water_kg,40,27,-1.768737960301732,-0.2595213395774724,0.2595213395774724,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,cadmium_air_kg,40,27,23.125907714820755,0.22688722770126468,0.22688722770126468,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,mercury_air_kg,40,27,-21.760641087183753,-0.21343080042712115,0.21343080042712115,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,mercury_water_kg,40,27,1519.9016954404437,0.20303707063824744,0.20303707063824744,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,zinc_land_kg,40,27,-0.3680093477559301,-0.1583157858538487,0.1583157858538487,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,nickel_land_kg,40,27,-0.27906992385158225,-0.1345227207110428,0.1345227207110428,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,zinc_water_kg,40,27,-0.42037524655244374,-0.1344261131996674,0.1344261131996674,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,mercury_land_kg,40,27,1301.9550437828264,0.10757619587062961,0.10757619587062961,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,lead_air_kg,40,27,0.20637753898602837,0.09828700564376824,0.09828700564376824,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,chromium_water_kg,40,27,-1.688477124977985,-0.06921659209675535,0.06921659209675535,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
potential_years_of_life_lost,lead_water_kg,40,27,-0.5693986292450423,-0.05159393862234726,0.05159393862234726,4981.382085921749,0.9951451567403355,0.9842217594060905,877691315.9059019
