state,year_label,total_air_emission_kg,total_water_emission_kg,total_land_emission_kg,lead_air_kg,lead_water_kg,lead_land_kg,mercury_air_kg,mercury_water_kg,mercury_land_kg,cadmium_air_kg,cadmium_water_kg,cadmium_land_kg,nickel_air_kg,nickel_water_kg,nickel_land_kg,chromium_air_kg,chromium_water_kg,chromium_land_kg,copper_air_kg,copper_water_kg,copper_land_kg,zinc_air_kg,zinc_water_kg,zinc_land_kg,tvoc_air_kg,tvoc_water_kg,tvoc_land_kg,pm10_air_kg,pm10_water_kg,pm10_land_kg,pm25_air_kg,pm25_water_kg,pm25_land_kg,start_year,end_year,health_year,population,deaths,crude_rate_per_100000,age_standardised_rate_per_100000,premature_deaths,premature_deaths_percent,premature_deaths_asr_per_100000,potential_years_of_life_lost,pyll_rate_per_1000,potentially_avoidable_deaths,pad_percent,pad_asr_per_100000,median_age,alignment_used
SA,2023-2024,155587070.52668932,2174973.4699112,303282.4732079558,54905.82849229508,24834.569512,61.25011809,482.32704361188,16.5850512,8.7466879025,1594.8581487067,2971.5010512,120.747924842,5005.8350254685,560.470512,289.05106219,5831.992362815101,735.960512,164.547524675,38708.5558515478,44395.9862008,264.20446217,33694.928574394,43373.52,58.1642692,5739555.40883377,0.0,0.0,27895521.12674408,0.0,0.0,1035373.4364326583,0.0,0.0,2023,2024,2023,1852284,15499,836.8,532.5,4606,29.7,206.9,67250,40.0,2013,43.7,93.7,82.7,start_year
TAS,2019-2020,67688934.93480507,2776044.556303491,237899.72993822384,1553.4138331470476,2151.334247,4493.086900083736,63.98255153247547,25.30285,0.0094858561212938,141.65630637475977,1386.929814,0.0273907548301886,1210.0140779711269,5823.3134580000005,1.9949953963665767,2524.422425962497,633.261228,0.11738894912938,488.6439968013828,5701.184521,17505.419626078918,8340.678705973476,94347.46615,9243.031379936465,1268587.2816108908,0.0,0.0,2174514.1556386766,0.0,0.0,323452.4958193706,0.0,0.0,2019,2020,2019,547841,4662,851.0,586.9,1650,35.4,238.4,24245,48.2,843,51.1,125.6,80.7,start_year
TAS,2020-2021,62943438.68386226,2821249.131110506,35103.831174760846,2194.410778735192,22540.82177117,17.670175885302864,81.9577370083328,38.138682768,0.0145750630600272,140.6856624336687,1334.231802768,0.09917837773397,1253.57355837304,5998.40245856,11.946162575341065,2433.061633209453,658.1696793959999,35.357792602002725,830.1741163468496,7394.72928905,3.835300975402456,13471.476603125056,95421.4499071,46.081270060364254,1276491.448596014,0.0,0.0,2277557.617471128,0.0,0.0,338424.4767178528,0.0,0.0,2020,2021,2020,557578,4435,795.4,539.8,1580,35.6,221.9,22764,44.6,828,52.4,121.0,80.8,start_year
TAS,2021-2022,77139883.30339994,3370041.691175062,16832.45327247999,3214.32519937165,32005.272565931,21.075854258,60.0449467413,36.081918341,0.039025826,174.3511096212,1405.4903023410002,0.991402355,1643.896533821,6138.01410605,37.556298372,2555.8827574805,659.4474914049999,21.604160467,1157.320046391,8446.91528322,303.253485762,14079.004419896,106039.4457016,8804.73484857,958756.4487004374,0.0,0.0,2568178.398345109,0.0,0.0,395742.2310220148,0.0,0.0,2021,2022,2021,567239,4769,840.7,559.9,1636,34.3,223.2,22817,44.1,843,51.5,118.3,81.1,start_year
TAS,2022-2023,62024426.88828534,2604160.08449907,18895.97618297223,1804.9706708921,15706.29807885,1.359138752,55.92084165240001,33.19825394,0.01253436246,75.8645548005,1471.61697302,0.139695931,756.2722575809,2668.5828767,5081.068890626,1068.7536473499,160.09695786,1.8601806716,815.403570132,4782.2560527,1.643431662,12150.28759918,97962.757686,40.928609541,961475.4773397672,0.0,0.0,3330499.15011188,0.0,0.0,476557.14793677983,0.0,0.0,2022,2023,2022,571051,5142,900.4,585.8,1771,34.4,239.9,24201,46.6,859,48.5,119.9,80.7,start_year
TAS,2023-2024,55422860.73213849,2076479.0782210256,69507.56026893907,1494.3393862506,10326.28412434,975.723112633,62.9166844638,29.326872692,4.0264286509,68.9952153939,1417.171928566,0.4431341319999999,1959.8225960536,2908.018924002,8599.630708365,821.1993367708,160.294280982,397.515267346,1415.893918305,4229.28719671,764.066558795,10824.357716095,92880.0185561,7470.174860941,877861.4034525149,0.0,0.0,4508397.215863778,0.0,0.0,518626.3863112779,0.0,0.0,2023,2024,2023,573156,5073,885.1,563.2,1581,31.2,217.0,22256,42.9,775,49.0,109.9,81.5,start_year
VIC,2019-2020,269894060.5940147,13066591.008256951,845188.1092099958,4128.776658514168,682.248743,16.551093189719,1185.582179333796,26.5035538,0.7895060477211333,406.7947962605092,66.6693143,3.369140083493112,7236.967596967395,3025.49744,114.0744238589878,4280.0527650531,313.792735,8.401394257113337,2315.738076441257,3240.09813,251.67225199090203,12080.991328179143,12777.8793,318.6479620208568,10573281.20081535,0.0,0.0,17119296.098277558,0.0,0.0,2659978.164992431,0.0,0.0,2019,2020,2019,6537305,41227,630.6,500.8,13092,31.8,187.5,212037,34.8,6524,49.8,94.9,82.6,start_year
VIC,2020-2021,282231584.30504936,12762683.96971422,927043.7603302826,3876.731268376183,3359.806676,19.97973561033793,1091.5015859199202,28.3959276,0.8218070355794087,441.0150078066763,63.2339176,4.115775596852872,7587.667370586155,4151.626029999999,143.72677701049918,4918.808808463345,294.68003,11.606407584940882,2334.434430121795,3927.79598,470.9076516371468,13558.248414500646,13946.8049,285.37893944599665,10066671.764598232,0.0,0.0,20745486.186428323,0.0,0.0,2740264.075504248,0.0,0.0,2020,2021,2020,6615046,41093,621.2,485.2,13087,31.8,182.2,208589,33.9,6478,49.5,91.8,82.6,start_year
VIC,2021-2022,272454709.01253814,11562441.39132197,760510.5128806893,3237.85222136574,740.307081,18.3995171546,1124.87261077202,30.9599781,0.717013013392,232.24285796122,77.2560081,3.9566280175,5742.44953298518,3253.71816,124.575210068,4312.37687134469,273.83741000000003,11.1871402101,1904.04155170746,3627.795796,417.0649823552,12506.974171484,13308.4589,295.32174444,10878122.877328811,0.0,0.0,20291510.825992946,0.0,0.0,2876714.7509672265,0.0,0.0,2021,2022,2021,6547822,42486,648.9,491.7,13410,31.6,185.5,209151,34.5,6260,46.7,88.5,82.7,start_year
VIC,2022-2023,260235854.0564676,12427822.616695,743047.5491443613,3690.163499635957,865.3616400000001,244.069282973,902.1654351004744,30.3651211,1.81792616591,229.7113729063529,71.50438109999999,3.4122107403,6558.625137071919,3522.10496,115.019734938,3827.815296423058,442.14561,10.4764713454,2002.7631029334643,4095.71031,459.249878758,12244.434988846167,16143.4546,2490.31186985,10014995.230315443,0.0,0.0,19274376.72641705,0.0,0.0,2606969.6423641173,0.0,0.0,2022,2023,2022,6630631,47978,723.6,541.7,14591,30.4,200.7,227013,37.0,6828,46.8,96.1,82.9,start_year
VIC,2023-2024,262266728.68056712,9976906.570916716,489878.4140311199,3605.54844694287,642.689751,160.132682396,884.29060322114,27.2341713,1.00144408122,228.87831858263,58.9139588,3.84389576921,6627.0548200187695,3017.30792,150.729125915,3921.25719476029,228.56944,8.9170681316,2086.65845167544,3554.62755,556.9474164527,14675.877685196,23493.5272,2135.536651695,10430102.97810452,0.0,0.0,18432716.400628787,0.0,0.0,2818205.83874461,0.0,0.0,2023,2024,2023,6815441,45326,665.0,500.1,13955,30.8,188.8,219607,34.9,6776,48.6,93.8,82.5,start_year
WA,2019-2020,1017802725.6007272,8846370.734617371,2505665.3790188725,24403.01521471163,5832.1796494936725,765.1990224933081,2253.0379666607364,15.826723727120791,11.085905755349623,1370.163474484141,429.4124879888888,66.58968082750577,384073.0606250042,2663.11073599,15826.7888623516,271577.85468017723,1021.4205313782762,4999.400781720276,107977.26007289294,5677.109934998443,5778.266524210121,99719.87222927855,29634.882770095453,2229.1708464496865,60263517.084322624,0.0,0.0,484972318.8192929,0.0,0.0,8372645.353164576,0.0,0.0,2019,2020,2019,2659625,15042,565.6,491.2,5465,36.3,192.5,94988,38.1,2885,52.8,104.3,81.1,start_year
WA,2020-2021,1078183477.1440897,8340505.925788289,2224960.534613088,33959.82383812357,6149.805133951484,1288.7413024699297,2698.024901561444,17.139929441858715,16.35472482660684,1529.4328118711487,447.2626716471725,87.08469485580031,384746.8813342394,3419.753491360292,22393.760252796965,299681.8024268359,1060.4516125268008,5658.922109493778,109229.21484798356,7065.803980726368,6271.65620407743,130481.04959080504,31924.83830457809,3796.642257027607,50336940.45520388,0.0,0.0,583827956.5054445,0.0,0.0,8379655.217181461,0.0,0.0,2020,2021,2020,2712912,14993,552.7,468.2,5598,37.3,190.1,95269,37.5,2934,52.4,102.7,80.7,start_year
WA,2021-2022,1073537412.1186644,8797439.449327225,2898926.842885138,34601.55414192316,3265.3037910489725,1216.4651371947136,2691.658139528166,19.15805522793248,29.663953624490983,1560.476321997679,234.56744660467243,98.53063993318816,365833.3801349942,3324.931095363654,109482.31376484476,348071.6148339544,1719.320911787951,7413.336450517834,104874.3859425574,7741.54670578044,6355.911277368477,132885.57259863525,25336.22053690762,13353.247988854704,48771961.61182541,0.0,0.0,582821891.973884,0.0,0.0,9758273.324935531,0.0,0.0,2021,2022,2021,2749365,15891,578.0,476.0,5562,35.0,183.5,92794,36.1,2888,51.9,98.0,81.4,start_year
WA,2022-2023,1042866307.3622729,8319638.242214877,2689858.347596025,60341.42871783296,4553.463027785,974.569222806443,2875.0458408351165,35.4562157739516,29.35680051201158,1691.266635849268,236.94200532500005,270.7623395632993,358057.8956848043,2920.75346425,280017.3033226636,346253.0914179072,1311.27844,4882.799727492725,102565.33523610112,4492.2491876,5631.31346765274,147830.09741530442,22766.9598879,3503.823556159112,44038164.98153487,0.0,0.0,564021799.120402,0.0,0.0,8527479.572051005,0.0,0.0,2022,2023,2022,2791794,17299,619.6,500.1,5969,34.5,194.9,99689,38.4,3087,51.7,103.8,81.3,start_year
WA,2023-2024,1086660513.405017,8459186.256464843,2862540.0066311457,111143.62360513431,5214.913262399,3507.824671985,2469.1927993171907,26.0319842849,16.7823683164,1697.3803713826494,238.367981438,330.571706098,463147.3002615969,3351.564826202,20853.035640539,347714.81390582223,1021.951364985,6642.578060360999,160213.21925226206,3486.35608715,10350.0040955914,150761.6549345524,20415.687721667,5649.665982415,42845526.28217458,0.0,0.0,619220626.5343469,0.0,0.0,8561658.576437408,0.0,0.0,2023,2024,2023,2881227,17475,606.5,486.1,5982,34.2,191.3,99286,37.1,2976,49.7,97.4,81.5,start_year
